"","Albania","Armenia","Australia","Austria","Belgium","Croatia","Cyprus","Czechia","Estonia","Finland","France","Germany","Israel","Italy","Lithuania","Moldova","Norway","Poland","Portugal","Serbia","Slovenia","Spain","Sweden","Switzerland","Ukraine","United.Kingdom"
"Albania",0,0,0,0,0,8,7,0,0,6,3,0,5,12,0,0,4,1,0,0,2,0,10,0,0,0
"Armenia",0,0,0,0,0,0,8,0,0,6,10,0,12,3,0,0,4,5,0,0,0,0,7,2,1,0
"Australia",0,0,0,7,3,4,8,0,0,12,2,0,5,0,0,0,6,0,0,0,1,0,10,0,0,0
"Austria",3,0,0,0,0,10,0,0,0,12,0,6,1,8,0,0,7,0,0,0,0,0,4,2,5,0
"Azerbaijan",0,0,0,0,0,0,6,3,0,8,0,0,12,4,0,0,2,0,0,0,5,0,10,1,7,0
"Belgium",3,6,0,0,0,0,0,0,0,12,2,0,5,7,0,0,8,4,0,0,0,0,10,0,1,0
"Croatia",6,0,0,0,0,0,0,3,0,10,0,0,4,8,0,1,5,0,0,7,12,0,2,0,0,0
"Cyprus",0,4,0,0,0,0,0,0,0,7,3,0,12,6,0,1,5,2,0,0,0,0,8,0,10,0
"Czechia",0,2,0,0,0,4,0,0,0,10,0,0,8,1,0,5,7,0,0,0,3,0,6,0,12,0
"Denmark",0,0,0,0,6,0,2,0,0,12,0,0,0,3,0,1,10,5,0,0,0,0,8,4,7,0
"Estonia",0,0,6,0,0,0,0,0,0,12,0,0,0,2,5,0,7,3,0,0,1,0,10,4,8,0
"Finland",0,0,8,2,0,4,0,10,6,0,0,5,0,0,0,3,12,0,0,0,7,0,0,1,0,0
"France",0,12,0,0,2,0,0,0,0,6,0,0,10,7,0,8,1,0,5,0,0,0,3,0,4,0
"Georgia",0,12,0,0,0,1,0,0,0,8,0,0,6,5,4,3,2,0,0,0,0,0,7,0,10,0
"Germany",8,0,0,0,2,6,0,0,0,12,0,0,0,10,0,0,5,4,0,0,0,0,1,3,7,0
"Greece",4,2,0,0,0,0,12,1,0,10,3,0,7,5,0,0,6,0,0,0,0,0,8,0,0,0
"Iceland",0,0,3,0,6,5,0,0,0,12,4,0,0,1,0,0,8,7,0,0,0,0,10,0,2,0
"Ireland",0,0,0,0,3,2,0,0,0,12,0,0,1,0,10,4,5,8,0,0,0,0,6,0,7,0
"Israel",0,3,0,0,0,6,0,2,0,12,1,0,0,7,0,5,10,0,0,0,0,0,4,0,8,0
"Italy",7,0,0,0,0,4,0,2,0,6,0,0,5,0,0,12,10,0,0,0,0,0,3,1,8,0
"Latvia",0,0,0,0,0,4,0,1,6,12,0,0,5,0,10,0,3,0,0,0,2,0,8,0,7,0
"Lithuania",0,0,0,0,0,4,0,0,5,12,1,0,3,6,0,2,0,8,0,0,0,0,7,0,10,0
"Malta",3,0,0,0,0,0,0,0,0,8,1,0,6,12,0,0,7,0,0,2,0,0,10,0,5,4
"Moldova",0,2,0,0,0,0,3,1,0,7,0,0,10,5,0,0,6,4,0,0,0,0,8,0,12,0
"Netherlands",0,0,1,4,10,0,0,0,5,12,0,0,6,3,0,0,7,2,0,0,0,0,8,0,0,0
"Norway",0,0,0,0,4,0,2,0,0,12,8,0,3,7,0,0,0,6,0,0,0,0,10,5,1,0
"Poland",0,0,0,0,0,6,4,3,0,10,0,0,5,0,1,0,8,0,0,0,2,0,7,0,12,0
"Portugal",0,0,0,0,1,0,0,0,0,10,2,0,5,6,0,8,4,0,0,0,0,3,7,0,12,0
"Rest of the World",6,8,0,0,0,3,0,0,0,10,1,0,12,0,0,0,4,0,0,0,0,2,7,0,5,0
"Romania",0,0,0,0,0,0,1,0,0,10,3,0,6,7,0,12,5,0,0,0,2,0,8,0,4,0
"San.Marino",0,0,0,0,0,0,5,0,0,12,0,0,10,7,2,3,4,1,0,0,0,0,8,0,6,0
"Serbia",0,0,0,3,0,10,0,4,0,12,1,0,7,2,0,0,5,0,0,0,8,0,6,0,0,0
"Slovenia",7,0,0,0,2,12,0,0,0,10,3,0,0,8,0,0,5,1,0,6,0,0,4,0,0,0
"Spain",0,2,0,0,3,0,0,0,0,12,0,0,7,6,0,1,8,0,4,0,0,0,5,0,10,0
"Sweden",0,0,1,0,7,5,0,3,0,12,2,0,0,6,0,0,10,0,0,0,0,0,0,8,4,0
"Switzerland",12,0,0,0,0,6,0,0,0,8,0,4,3,10,0,0,2,0,7,1,0,0,5,0,0,0
"Ukraine",0,0,0,0,0,8,0,2,0,10,0,0,1,0,4,6,7,12,0,0,0,0,3,0,0,5
"United.Kingdom",0,0,2,0,6,0,0,0,0,12,0,0,3,0,10,1,7,8,0,0,0,0,5,0,4,0
